"","Measure","Attribute","Value","Category","Date"
"233","Regular Vessels (beam less than 91')","Used","1501","Booking Slots",2017-05-01
"234","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2017-05-01
"235","Auctioned booking slots","Used","0","Booking Slots",2017-05-01
"236","Neopanamax Vessels (beam 107' and over)","Percentage","8333","Booking Slots",2017-05-01
"237","Large Vessels (91' to 107’ beam)","Percentage","7011","Booking Slots",2017-05-01
"238","Regular Vessels (beam less than 91')","Percentage","6048","Booking Slots",2017-05-01
"239","Regular Vessels (up to 300' in length)","Percentage","000","Booking Slots",2017-05-01
"240","Auctioned booking slots","Percentage","000","Booking Slots",2017-05-01
"241","Neopanamax Vessels (107’ beam and Over)","Available","248","Booking Slots",2019-05-01
"242","Large Vessels (91’ beam to under 107’ beam)","Available","465","Booking Slots",2019-05-01
"243","Regular Vessels (less than 91' beam)","Available","248","Booking Slots",2019-05-01
"244","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2019-05-01
"245","Auctioned booking slots","Available","1","Booking Slots",2019-05-01
"246","Neopanamax Vessels (107’ beam and Over)","Used","182","Booking Slots",2019-05-01
"247","Large Vessels (91’ beam to under 107’ beam)","Used","3051","Booking Slots",2019-05-01
"248","Regular Vessels (less than 91' beam)","Used","1231","Booking Slots",2019-05-01
"249","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2019-05-01
"250","Auctioned booking slots","Used","0","Booking Slots",2019-05-01
"251","Neopanamax Vessels (107’ beam and Over)","Percentage","7339","Booking Slots",2019-05-01
"252","Large Vessels (91’ beam to under 107’ beam)","Percentage","6559","Booking Slots",2019-05-01
"253","Regular Vessels (less than 91' beam)","Percentage","4960","Booking Slots",2019-05-01
"254","Regular Vessels (up to 300' in length)","Percentage","000","Booking Slots",2019-05-01
"255","Auctioned booking slots","Percentage","000","Booking Slots",2019-05-01
"256","Neopanamax Vessels (107’ beam and Over)","Available","242","Booking Slots",2018-05-01
"257","Large Vessels (91’ beam to under 107’ beam)","Available","448","Booking Slots",2018-05-01
